,FP1,CZ,FZ,C3,C4,F3,O1,O2,Perception
0,1.2870184677100909,1.1018175747804289,1.1534470769372924,1.0959887859127064,1.3976070789531314,1.2990120530160552,1.4591492771460857,1.301912318322519,0.0
0,1.3358768187436019,1.1422871928034186,1.1860915168877504,1.1355166605860527,1.4355418221816176,1.3329419439054255,1.4761653435449524,1.3232665119805302,0.0
0,1.3997012249732814,1.195616381953057,1.2295079560821853,1.1890933622915616,1.4839224898010375,1.370871447970188,1.4947041798275906,1.3497749067120515,0.0
0,1.450124054802773,1.236657528265985,1.2638920737758104,1.2325328427528823,1.5202363540216437,1.3941748442610589,1.5034398692358604,1.3698130842688878,0.0
0,1.4828121468889122,1.2632028672353954,1.2859587571931514,1.2622160347901963,1.5448174321934045,1.401680115150839,1.4963516155660923,1.3781138784633002,0.0
0,1.483261035171376,1.2640669028458695,1.2849332224264127,1.2657288626967087,1.542192341182781,1.3877006987906562,1.46942924482376,1.3673910200132022,0.0
0,1.4627997204156133,1.246383273168636,1.2648091679538431,1.2501667302649977,1.5167458950813346,1.3545127216146344,1.4190518122816482,1.3373068112404713,0.0
0,1.4517943228798726,1.2361670521123316,1.2537080821907742,1.2404611165774952,1.503371023216057,1.3375502804023944,1.393587662649736,1.3217156381408017,0.0
0,1.4119324384174705,1.1984808585360325,1.2144272879708788,1.2010163922161494,1.4556914203532665,1.2818794166950782,1.3145932266242075,1.2735521474590374,0.0
0,1.3867766341496157,1.1735336387626452,1.188399931393213,1.171993942251415,1.424117070425814,1.2460395931131734,1.2760404158917797,1.2470018173561868,0.0
0,1.3690076594135672,1.1532250725258597,1.1660006613972078,1.1455828289423136,1.3982812463584031,1.2124063553454107,1.2588306603028447,1.2428210360268266,0.0
0,1.3745504761449516,1.152467999625326,1.1650739707931603,1.1438213708047713,1.4071195237773424,1.2164091244260165,1.267412869488069,1.2564704783732308,0.0
0,1.3985256729468565,1.1636408601622987,1.1776418782926907,1.1566323361293427,1.433245101144419,1.2372974027068222,1.2858321939946997,1.2751163499139295,0.0
0,1.453492397602427,1.1959521558490163,1.2132144199028088,1.1949431643507844,1.4891613543290674,1.2845684340656844,1.3304895876107985,1.3122989447119278,0.0
0,1.497803299380349,1.2249116253432522,1.2450227611117035,1.2295552532871743,1.534839591511596,1.3234464111852562,1.3698335705876856,1.3419774515166971,0.0
0,1.5735311793891058,1.2804417216218185,1.3059662004324024,1.294338890702106,1.6145503093845774,1.3908135553006558,1.4432707883710536,1.3979694742219424,0.0
0,1.6275291271233079,1.3255575040940282,1.3547329705339994,1.3465414840631535,1.671273147416851,1.4414462963852321,1.4986977915199475,1.4425516924640778,0.0
0,1.6787000960613399,1.3768637725200414,1.4078372232708065,1.4063262944530681,1.7265309376212141,1.4967027560626704,1.5553237695273199,1.490415215030417,0.0
0,1.7646399189199435,1.463695145874654,1.4962412593930396,1.506907109466673,1.8157119432137372,1.6003758568879816,1.6398798180448686,1.5743836182559354,0.0
0,1.8415155135044508,1.5442226723947758,1.5782776743782472,1.6026964906920138,1.8924337065277266,1.6952046600090283,1.7187644606917405,1.6658340745272908,0.0
0,1.8719846825966564,1.5858189739195725,1.6176324728904161,1.6558204619211816,1.9244747893629937,1.7433288404934377,1.7634307449349715,1.7167944641397614,0.0
0,1.8813379566070831,1.6192866391961638,1.6451963410414634,1.708251330064531,1.9372542264764259,1.7855657804710423,1.8027378641043803,1.7690290709029206,0.0
0,1.8429582107388436,1.6059250391393658,1.6255629853047735,1.7073021784927984,1.9011652283353189,1.7738499041378464,1.7953506613509427,1.7738365835269385,0.0
0,1.7837224112268122,1.5731000077846256,1.5866313130015142,1.685977600580852,1.8439677949949993,1.7416266731463634,1.7702216115365537,1.7621956423169722,0.0
0,1.671313779765932,1.497404577296143,1.504127891226051,1.625081127042938,1.7315748175663237,1.6659085085196006,1.710503457584696,1.718652071023957,0.0
0,1.533628946377252,1.3908619094255386,1.39480408062678,1.5286080028110074,1.5889748925371134,1.5560105848974273,1.6279669860324095,1.6396068142718674,0.0
0,1.4286976207816204,1.3032742273235263,1.308090423265227,1.444081658742112,1.4775623864103362,1.4621588577230866,1.5577339789269327,1.5650318438050472,0.0
0,1.2568715898839395,1.1511436671559143,1.161779508508141,1.2896808185050166,1.2917667777462387,1.2958485947685383,1.4311877488665998,1.4227854793237638,0.0
0,1.1420782231328628,1.0459973128246167,1.0636918027093234,1.1791416000064705,1.1677894164061648,1.1774156123347,1.3354747018933628,1.3120654705421104,0.0
