,FP1,CZ,FZ,C3,C4,F3,O1,O2,Perception
0,0.24317583833791842,0.18297363326231553,0.1288253460982367,0.4634891936562387,0.18449633923465583,0.2624195134479701,0.19532217144694425,0.2026765724032552,0.0
0,0.3615526582669171,0.18939855309067136,0.1526791522951704,0.4481879374502112,0.2504229654399041,0.2977132396162358,0.19452426519942387,0.2010270727124381,0.0
0,0.4734040260669693,0.19894928284835334,0.17453821237793166,0.4504963400505701,0.3076870779155248,0.327430396173536,0.193467891485041,0.19950469326033865,0.0
0,0.6956998313747866,0.2188987592306697,0.21586312251018158,0.47134226403492624,0.41205445671479346,0.37969794791894584,0.19342089189620584,0.19910360536835622,0.0
0,0.8822302352510232,0.2356059593725558,0.2490297139954512,0.49615253084010874,0.4918783962298188,0.419480510371875,0.19468853395657995,0.20013757066143842,0.0
0,1.0915667741525719,0.2538270762961227,0.28515779231511185,0.5267946189115894,0.57512369878899,0.4604680858179032,0.19746800915540597,0.2032290108175357,0.0
0,1.4299435680695562,0.28204833328356965,0.3409381177378477,0.5808096168720611,0.6946943821279785,0.51881167527906,0.20290477345862185,0.21074204078294953,0.0
0,1.651006101664866,0.29978055650871793,0.3757736160690185,0.6194008635166245,0.7614636285310681,0.5509624334787325,0.20711421621782983,0.21702919407348847,0.0
0,1.8408049665543926,0.31390006297878786,0.404083033590613,0.6558795865428877,0.8060796921066984,0.5714355269802238,0.21104766852048962,0.2236493767840869,0.0
0,1.9699158715207634,0.322934780792898,0.4208998921301766,0.6871566709809251,0.8190397863816185,0.5747192368540773,0.2147792096804682,0.22998101995411835,0.0
0,2.0080103379423444,0.3253940057119279,0.4248040230348919,0.7022903727559793,0.8142700402689242,0.5702994803070944,0.21633363727477187,0.23277644087936136,0.0
0,1.9925899394908113,0.32049856644601055,0.4160970076211699,0.7348907196922901,0.7535155567170998,0.5318726882277063,0.2181612298519098,0.23888641062380223,0.0
